Accident_ID,Date,State,Time,Weather,Vehicles_Involved,Severity,Casualties,Vehicle_Type
A0001,01-01-2022,Tamil Nadu,20:07,Cloudy,2,Serious,1,Truck
A0002,02-01-2022,Karnataka,00:47,Cloudy,4,Serious,2,Truck
A0003,03-01-2022,Uttar Pradesh,08:15,Foggy,3,Fatal,5,Bike
A0004,04-01-2022,Karnataka,07:08,Cloudy,3,Minor,2,Bus
A0005,05-01-2022,Karnataka,23:06,Snowy,2,Minor,4,Car
A0006,06-01-2022,Maharashtra,21:47,Cloudy,1,Serious,4,Bus
A0007,07-01-2022,Uttar Pradesh,17:05,Foggy,2,Minor,1,Auto
A0008,08-01-2022,Uttar Pradesh,18:27,Foggy,1,Minor,3,Truck
A0009,09-01-2022,Uttar Pradesh,01:01,Snowy,4,Minor,5,Car
A0010,10-01-2022,Karnataka,02:13,Rainy,3,Minor,1,Car
A0011,11-01-2022,Tamil Nadu,07:32,Rainy,4,Fatal,3,Auto
A0012,12-01-2022,Uttar Pradesh,19:01,Cloudy,1,Serious,3,Auto
A0013,13-01-2022,West Bengal,17:12,Clear,1,Serious,4,Bike
A0014,14-01-2022,Karnataka,22:41,Cloudy,4,Minor,0,Truck
A0015,15-01-2022,Maharashtra,22:34,Snowy,1,Minor,0,Truck
A0016,16-01-2022,Tamil Nadu,13:14,Snowy,4,Minor,2,Bus
A0017,17-01-2022,West Bengal,14:37,Snowy,3,Minor,4,Bike
A0018,18-01-2022,West Bengal,08:51,Snowy,4,Minor,3,Bike
A0019,19-01-2022,Maharashtra,00:48,Snowy,3,Serious,5,Bike
A0020,20-01-2022,Tamil Nadu,05:44,Foggy,4,Serious,0,Bike
A0021,21-01-2022,Karnataka,13:21,Rainy,1,Minor,3,Truck
A0022,22-01-2022,Delhi,08:09,Snowy,4,Fatal,0,Truck
A0023,23-01-2022,Tamil Nadu,06:48,Clear,1,Serious,0,Bike
A0024,24-01-2022,Maharashtra,10:06,Clear,4,Minor,0,Bus
A0025,25-01-2022,West Bengal,02:24,Clear,4,Serious,5,Car
A0026,26-01-2022,Karnataka,03:22,Clear,2,Minor,4,Car
A0027,27-01-2022,Tamil Nadu,11:38,Foggy,1,Minor,5,Bus
A0028,28-01-2022,Delhi,08:51,Clear,2,Minor,1,Bike
A0029,29-01-2022,Delhi,01:46,Snowy,1,Serious,3,Truck
A0030,30-01-2022,Uttar Pradesh,14:34,Cloudy,2,Minor,4,Car
A0031,31-01-2022,Uttar Pradesh,03:59,Clear,3,Minor,4,Auto
A0032,01-02-2022,Maharashtra,12:05,Foggy,4,Minor,4,Auto
A0033,02-02-2022,Tamil Nadu,17:18,Foggy,1,Minor,4,Bus
A0034,03-02-2022,Tamil Nadu,20:39,Clear,1,Serious,5,Bike
A0035,04-02-2022,West Bengal,11:36,Cloudy,4,Serious,4,Car
A0036,05-02-2022,West Bengal,06:45,Clear,1,Minor,2,Bike
A0037,06-02-2022,West Bengal,02:02,Foggy,1,Minor,3,Car
A0038,07-02-2022,Uttar Pradesh,21:14,Rainy,2,Minor,4,Bus
A0039,08-02-2022,Tamil Nadu,09:05,Snowy,1,Minor,3,Bus
A0040,09-02-2022,Tamil Nadu,07:55,Foggy,3,Minor,2,Auto
A0041,10-02-2022,Delhi,03:24,Clear,3,Minor,2,Bike
A0042,11-02-2022,Uttar Pradesh,08:29,Snowy,4,Minor,3,Auto
A0043,12-02-2022,Karnataka,20:53,Clear,1,Serious,0,Bike
A0044,13-02-2022,Uttar Pradesh,11:10,Clear,4,Serious,1,Auto
A0045,14-02-2022,Karnataka,11:22,Rainy,3,Minor,0,Truck
A0046,15-02-2022,Delhi,06:42,Snowy,1,Minor,0,Truck
A0047,16-02-2022,Maharashtra,08:44,Snowy,1,Serious,5,Truck
A0048,17-02-2022,Tamil Nadu,21:41,Rainy,4,Minor,0,Truck
A0049,18-02-2022,Delhi,02:38,Foggy,3,Serious,4,Car
A0050,19-02-2022,Tamil Nadu,20:10,Clear,1,Serious,5,Truck
A0051,20-02-2022,West Bengal,17:46,Cloudy,4,Minor,5,Bus
A0052,21-02-2022,Maharashtra,07:10,Clear,3,Minor,2,Bus
A0053,22-02-2022,Maharashtra,14:24,Clear,4,Serious,0,Car
A0054,23-02-2022,Delhi,08:59,Foggy,2,Minor,2,Truck
A0055,24-02-2022,Maharashtra,20:44,Clear,1,Minor,3,Truck
A0056,25-02-2022,Karnataka,17:14,Rainy,2,Fatal,1,Truck
A0057,26-02-2022,Maharashtra,21:20,Rainy,3,Minor,5,Auto
A0058,27-02-2022,Tamil Nadu,01:14,Snowy,2,Minor,3,Bike
