Accident_ID,Date,State,Time,Weather,Vehicles_Involved,Severity,Casualties,Vehicle_Type,Hour,Year,Month,Day,Time_of_Day
A0001,2022-01-01,Tamil Nadu,20:07,Cloudy,2,Serious,1,Truck,20,2022.0,1.0,1.0,Evening
A0002,2022-02-01,Karnataka,00:47,Cloudy,4,Serious,2,Truck,0,2022.0,2.0,1.0,Night
A0003,2022-03-01,Uttar Pradesh,08:15,Foggy,3,Fatal,5,Bike,8,2022.0,3.0,1.0,Morning
A0004,2022-04-01,Karnataka,07:08,Cloudy,3,Minor,2,Bus,7,2022.0,4.0,1.0,Morning
A0005,2022-05-01,Karnataka,23:06,Snowy,2,Minor,4,Car,23,2022.0,5.0,1.0,Night
A0006,2022-06-01,Maharashtra,21:47,Cloudy,1,Serious,4,Bus,21,2022.0,6.0,1.0,Night
A0007,2022-07-01,Uttar Pradesh,17:05,Foggy,2,Minor,1,Auto,17,2022.0,7.0,1.0,Evening
A0008,2022-08-01,Uttar Pradesh,18:27,Foggy,1,Minor,3,Truck,18,2022.0,8.0,1.0,Evening
A0009,2022-09-01,Uttar Pradesh,01:01,Snowy,4,Minor,5,Car,1,2022.0,9.0,1.0,Night
A0010,2022-10-01,Karnataka,02:13,Rainy,3,Minor,1,Car,2,2022.0,10.0,1.0,Night
A0011,2022-11-01,Tamil Nadu,07:32,Rainy,4,Fatal,3,Auto,7,2022.0,11.0,1.0,Morning
A0012,2022-12-01,Uttar Pradesh,19:01,Cloudy,1,Serious,3,Auto,19,2022.0,12.0,1.0,Evening
A0013,,West Bengal,17:12,Clear,1,Serious,4,Bike,17,,,,Evening
A0014,,Karnataka,22:41,Cloudy,4,Minor,0,Truck,22,,,,Night
A0015,,Maharashtra,22:34,Snowy,1,Minor,0,Truck,22,,,,Night
A0016,,Tamil Nadu,13:14,Snowy,4,Minor,2,Bus,13,,,,Afternoon
A0017,,West Bengal,14:37,Snowy,3,Minor,4,Bike,14,,,,Afternoon
A0018,,West Bengal,08:51,Snowy,4,Minor,3,Bike,8,,,,Morning
A0019,,Maharashtra,00:48,Snowy,3,Serious,5,Bike,0,,,,Night
A0020,,Tamil Nadu,05:44,Foggy,4,Serious,0,Bike,5,,,,Morning
A0021,,Karnataka,13:21,Rainy,1,Minor,3,Truck,13,,,,Afternoon
A0022,,Delhi,08:09,Snowy,4,Fatal,0,Truck,8,,,,Morning
A0023,,Tamil Nadu,06:48,Clear,1,Serious,0,Bike,6,,,,Morning
A0024,,Maharashtra,10:06,Clear,4,Minor,0,Bus,10,,,,Morning
A0025,,West Bengal,02:24,Clear,4,Serious,5,Car,2,,,,Night
A0026,,Karnataka,03:22,Clear,2,Minor,4,Car,3,,,,Night
A0027,,Tamil Nadu,11:38,Foggy,1,Minor,5,Bus,11,,,,Morning
A0028,,Delhi,08:51,Clear,2,Minor,1,Bike,8,,,,Morning
A0029,,Delhi,01:46,Snowy,1,Serious,3,Truck,1,,,,Night
A0030,,Uttar Pradesh,14:34,Cloudy,2,Minor,4,Car,14,,,,Afternoon
A0031,,Uttar Pradesh,03:59,Clear,3,Minor,4,Auto,3,,,,Night
A0032,2022-01-02,Maharashtra,12:05,Foggy,4,Minor,4,Auto,12,2022.0,1.0,2.0,Afternoon
A0033,2022-02-02,Tamil Nadu,17:18,Foggy,1,Minor,4,Bus,17,2022.0,2.0,2.0,Evening
A0034,2022-03-02,Tamil Nadu,20:39,Clear,1,Serious,5,Bike,20,2022.0,3.0,2.0,Evening
A0035,2022-04-02,West Bengal,11:36,Cloudy,4,Serious,4,Car,11,2022.0,4.0,2.0,Morning
A0036,2022-05-02,West Bengal,06:45,Clear,1,Minor,2,Bike,6,2022.0,5.0,2.0,Morning
A0037,2022-06-02,West Bengal,02:02,Foggy,1,Minor,3,Car,2,2022.0,6.0,2.0,Night
A0038,2022-07-02,Uttar Pradesh,21:14,Rainy,2,Minor,4,Bus,21,2022.0,7.0,2.0,Night
A0039,2022-08-02,Tamil Nadu,09:05,Snowy,1,Minor,3,Bus,9,2022.0,8.0,2.0,Morning
A0040,2022-09-02,Tamil Nadu,07:55,Foggy,3,Minor,2,Auto,7,2022.0,9.0,2.0,Morning
A0041,2022-10-02,Delhi,03:24,Clear,3,Minor,2,Bike,3,2022.0,10.0,2.0,Night
A0042,2022-11-02,Uttar Pradesh,08:29,Snowy,4,Minor,3,Auto,8,2022.0,11.0,2.0,Morning
A0043,2022-12-02,Karnataka,20:53,Clear,1,Serious,0,Bike,20,2022.0,12.0,2.0,Evening
A0044,,Uttar Pradesh,11:10,Clear,4,Serious,1,Auto,11,,,,Morning
A0045,,Karnataka,11:22,Rainy,3,Minor,0,Truck,11,,,,Morning
A0046,,Delhi,06:42,Snowy,1,Minor,0,Truck,6,,,,Morning
A0047,,Maharashtra,08:44,Snowy,1,Serious,5,Truck,8,,,,Morning
A0048,,Tamil Nadu,21:41,Rainy,4,Minor,0,Truck,21,,,,Night
A0049,,Delhi,02:38,Foggy,3,Serious,4,Car,2,,,,Night
A0050,,Tamil Nadu,20:10,Clear,1,Serious,5,Truck,20,,,,Evening
A0051,,West Bengal,17:46,Cloudy,4,Minor,5,Bus,17,,,,Evening
A0052,,Maharashtra,07:10,Clear,3,Minor,2,Bus,7,,,,Morning
A0053,,Maharashtra,14:24,Clear,4,Serious,0,Car,14,,,,Afternoon
A0054,,Delhi,08:59,Foggy,2,Minor,2,Truck,8,,,,Morning
A0055,,Maharashtra,20:44,Clear,1,Minor,3,Truck,20,,,,Evening
A0056,,Karnataka,17:14,Rainy,2,Fatal,1,Truck,17,,,,Evening
A0057,,Maharashtra,21:20,Rainy,3,Minor,5,Auto,21,,,,Night
A0058,,Tamil Nadu,01:14,Snowy,2,Minor,3,Bike,1,,,,Night
A0059,,Tamil Nadu,01:51,Cloudy,2,Serious,3,Auto,1,,,,Night
A0060,2022-01-03,Tamil Nadu,10:25,Clear,3,Minor,4,Bike,10,2022.0,1.0,3.0,Morning
A0061,2022-02-03,Tamil Nadu,08:04,Clear,4,Minor,1,Truck,8,2022.0,2.0,3.0,Morning
A0062,2022-03-03,Karnataka,06:58,Foggy,2,Fatal,3,Truck,6,2022.0,3.0,3.0,Morning
A0063,2022-04-03,Uttar Pradesh,18:56,Rainy,4,Minor,3,Auto,18,2022.0,4.0,3.0,Evening
A0064,2022-05-03,West Bengal,22:20,Cloudy,2,Fatal,1,Auto,22,2022.0,5.0,3.0,Night
